topic_Name,News_Link,News_Concept,News_Relevance,News_Sentiment
coronavirus,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/coronavirus-updates-global-coronavirus-count-surpasses-7-5-million/liveblog/76365369.cms&sa=U&ved=2ahUKEwio2ImCuszqAhVR4HMBHYDFBI4QFjAKegQICBAB&usg=AOvVaw0-rLd2rOOnPpc6qMzLf2sd,Blog,0.91136,negative
coronavirus,/url?q=https://economictimes.indiatimes.com/coronavirus&sa=U&ved=2ahUKEwio2ImCuszqAhVR4HMBHYDFBI4QFjALegQIBxAB&usg=AOvVaw0fiYv2mchyLWCz2ap4d39L,Broadsheet,0.909961,negative
coronavirus,/url?q=https://economictimes.indiatimes.com/news/economy/indicators/indias-gdp-to-contract-7-5-if-covid-vaccine-is-delayed-4-in-base-case-bank-of-america-securities/articleshow/76936888.cms&sa=U&ved=2ahUKEwio2ImCuszqAhVR4HMBHYDFBI4QFjAMegQIBBAB&usg=AOvVaw37op-d1Qh0Z9LCXMUXaOHA,Broadsheet,0.909961,positive
coronavirus,/url?q=https://economictimes.indiatimes.com/news/newsblogs/latest-news-live-updates-july-7/liveblog/76824665.cms&sa=U&ved=2ahUKEwio2ImCuszqAhVR4HMBHYDFBI4QFjANegQIBRAB&usg=AOvVaw15gyTgA9XiFe8qrfaLEl45,President of Brazil,0.911813,negative
coronavirus,/url?q=https://m.economictimes.com/news/coronavirus&sa=U&ved=2ahUKEwio2ImCuszqAhVR4HMBHYDFBI4QFjAOegQICRAB&usg=AOvVaw0jYgSG1t7dBB4H3mZ5GfPn,Broadsheet,0.909961,negative
coronavirus,"/url?q=https://m.economictimes.com/coronavirus/coronavirus/storylisting/msid-74203027,page-4.cms%3Fquery%3Dcoronavirus&sa=U&ved=2ahUKEwio2ImCuszqAhVR4HMBHYDFBI4QFjAPegQIARAB&usg=AOvVaw0YeiWLy3FnczakoSLOA_KQ",Taiping Rebellion,0.842677,negative
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/topic/Lockdown-Extension&sa=U&ved=2ahUKEwiqm8SFuszqAhXlIbcAHSJ8AqsQFjAAegQIBxAB&usg=AOvVaw3WDbRLrgEBCn4wRgQN8qIG,Broadsheet,0.909961,positive
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/news/economy/indicators/lockdown-extension-to-have-deep-impact-on-indian-economy-report/articleshow/76132363.cms&sa=U&ved=2ahUKEwiqm8SFuszqAhXlIbcAHSJ8AqsQFjABegQIAxAB&usg=AOvVaw1KH2yYVn6lHAYFHM143Y5X,Broadsheet,0.909961,negative
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/news/politics-and-nation/lockdown-extended-till-may-31-for-first-city/articleshow/75789642.cms&sa=U&ved=2ahUKEwiqm8SFuszqAhXlIbcAHSJ8AqsQFjACegQICBAB&usg=AOvVaw1Xy8JWh-ESUNAPtu6iat-i,,,neutral
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/opinion/et-view/view-extension-of-lockdown-uncalled-for/articleshow/75496182.cms&sa=U&ved=2ahUKEwiqm8SFuszqAhXlIbcAHSJ8AqsQFjADegQIBRAB&usg=AOvVaw0MC0LlXEj2doS27FZoFrb0,,,neutral
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/topic/extension-of-lockdown&sa=U&ved=2ahUKEwiqm8SFuszqAhXlIbcAHSJ8AqsQFjAEegQIARAB&usg=AOvVaw0JvdhWBWN-9xUws9nCxQfh,June 11,0.878608,negative
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/topic/lockdown-extended&sa=U&ved=2ahUKEwiqm8SFuszqAhXlIbcAHSJ8AqsQFjAFegQIAhAB&usg=AOvVaw1_H4wN1GNYb_GVDQ91qty3,,,negative
Lockdown-extension,/url?q=https://economictimes.indiatimes.com/topic/Lockdown-Extension-in-India&sa=U&ved=2ahUKEwiqm8SFuszqAhXlIbcAHSJ8AqsQFjAGegQIBhAB&usg=AOvVaw3nGiWvNAgZnujVg5gzQpy3,Broadsheet,0.909961,positive
