topic_Name,Twitter_news_link,Twitter_Topic,Twitter_Relevance,Twitter_Sentiment
coronavirus,/url?q=https://twitter.com/covidnewsbymib&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjAAegQIBRAB&usg=AOvVaw3mzO7p65UQ7tyCGU2ExSwF,Spitting,0.91136,negative
coronavirus,/url?q=https://twitter.com/i/events/1240662046280048646%3Flang%3Den&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjABegQICBAB&usg=AOvVaw1bq4k7dmrq3cVftD4ox5g2,Sociology,0.9072,negative
coronavirus,/url?q=https://twitter.com/mumbailivenews%3Flang%3Den&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjACegQIBxAB&usg=AOvVaw3V-awTfn4m0mfc1I6jlAZ9,,,negative
coronavirus,/url?q=https://twitter.com/icmrdelhi%3Flang%3Den&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjADegQICRAB&usg=AOvVaw0Z6PuHv_ngXbZ6cHlR6iDn,International System of Units,0.856225,neutral
coronavirus,/url?q=https://twitter.com/toihyderabad%3Flang%3Den&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjAEegQIAhAB&usg=AOvVaw2dVAmYhXd82DrZf_BIInI-,The Legend of Zelda: A Link to the Past,0.878864,negative
coronavirus,/url?q=https://twitter.com/nhm_tn%3Flang%3Den&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjAFegQIABAB&usg=AOvVaw3iLg_fykceHU9PdlUe7EK0,,,neutral
coronavirus,/url?q=https://www.bbc.com/news/business-51700937&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjAGegQIAxAB&usg=AOvVaw3UYl5UJ8KS1zkFPMq7CLjc,Blog,0.932431,negative
coronavirus,/url?q=https://ieee-dataport.org/open-access/coronavirus-covid-19-tweets-dataset&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjAHegQIBBAB&usg=AOvVaw14Ru-Fs5zXEyo4g2ZKQfy_,Das Model,0.91136,neutral
coronavirus,/url?q=https://economictimes.indiatimes.com/magazines/panache/coronavirus-outbreak-changes-work-culture-twitter-allows-employees-to-wfh-forever/articleshow/75708604.cms&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjAIegQIARAB&usg=AOvVaw0_56tx894pLQoj41AmVhkJ,,,neutral
coronavirus,/url?q=https://economictimes.indiatimes.com/magazines/panache/no-more-fake-news-twitter-will-label-tweets-that-contain-harmful-misleading-content-on-coronavirus/articleshow/75688104.cms&sa=U&ved=2ahUKEwiH_taIuszqAhUbILcAHZUzA7UQFjAJegQIBhAB&usg=AOvVaw3SYgSPxUWC6P6pHjW9AtYI,Noah Bennet,0.85263,negative
Lockdown-extension,/url?q=https://twitter.com/cmomaharashtra/status/1261940917725872128%3Flang%3Den&sa=U&ved=2ahUKEwjXsZONuszqAhU48XMBHYwNDYgQFjAAegQIARAB&usg=AOvVaw11ee4AzHn7RJsPGYf6NXjc,Maharashtra,0.944812,neutral
Lockdown-extension,/url?q=https://twitter.com/telanganacmo/status/1267123500508119043%3Flang%3Den&sa=U&ved=2ahUKEwjXsZONuszqAhU48XMBHYwNDYgQFjABegQIChAB&usg=AOvVaw2y9houVhZK27Be5y3fl9jT,,,negative
Lockdown-extension,/url?q=https://twitter.com/uddhavthackeray/status/1261945164060336128&sa=U&ved=2ahUKEwjXsZONuszqAhU48XMBHYwNDYgQFjACegQIBxAB&usg=AOvVaw3LqCbFN4NYx6Pa2q88J0PQ,Maharashtra,0.944812,neutral
Lockdown-extension,/url?q=https://www.hindustantimes.com/india-news/may-the-4th-be-with-us-twitter-reacts-to-lockdown-extension/story-S4bbet0ZSZj68YDnO875UM.html&sa=U&ved=2ahUKEwjXsZONuszqAhU48XMBHYwNDYgQFjADegQICBAB&usg=AOvVaw0xU8EYIdoc9Zrw9cRcWGmu,Narendra Modi,0.954089,positive
Lockdown-extension,/url?q=https://www.hindustantimes.com/it-s-viral/lockdown-4-people-gear-up-to-face-the-extension-with-rib-tickling-memes/story-uJJc6eLQlgZry1VDn7ltuJ.html&sa=U&ved=2ahUKEwjXsZONuszqAhU48XMBHYwNDYgQFjAEegQICRAB&usg=AOvVaw0m319dOVFCaahZKZQvQmBf,,,positive
